"id","title","repository","identifier","access_note","restrictions","uri"
333424,Restricted files,Beinecke Rare Book and Manuscript Library,"[""JWJ MSS 130"",null,null,null]",Box 30: Restricted until 2033 August 1. Consult the appropriate curator for further information.,,/repositories/11/archival_objects/333424
2106161,"Audiorecordings, 1970-1971",Manuscripts and Archives,"[""MS 804"",null,null,null]","Original audiovisual materials, as well as preservation and duplicating masters, may not be played. Researchers must consult use copies, or if none exist must pay for a use copy, which is retained by the repository. Researchers wishing to obtain an additional copy for their personal use should consult Copying Services information on the Manuscripts and Archives web site.
","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/2106161
2113152,Unprocessed records,Manuscripts and Archives,"[""MS 1770"",null,null,null]",These records are closed until processed.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/2113152
1294056,Restricted,Manuscripts and Archives,"[""MS 1617"",null,null,null]",This correspondence is restricted until declassified by the National Archives and Records Administration of the United States.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/1294056
1220577,"Audiocassette of Weigand dictating letters, 1977",Manuscripts and Archives,"[""MS 1759"",null,null,null]","Original audiovisual materials, as well as preservation and duplicating masters, may not be played. Researchers must consult use copies, or if none exist must pay for a use copy, which is retained by the repository. Researchers wishing to obtain an additional copy for their personal use should consult Copying Services information on the Manuscripts and Archives web site.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1220577
1470180,Radio talks,Manuscripts and Archives,"[""MS 811"",null,null,null]","Original audiovisual materials, as well as preservation and duplicating masters, may not be played. Researchers must consult use copies, or if none exist must pay for a use copy, which is retained by the repository. Researchers wishing to obtain an additional copy for their personal use should consult Copying Services information on the Manuscripts and Archives web site. 
","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1470180
1470028,Original tapes,Manuscripts and Archives,"[""MS 811"",null,null,null]","Original audiovisual materials, as well as preservation and duplicating masters, may not be played. Researchers must consult use copies, or if none exist must pay for a use copy, which is retained by the repository. Researchers wishing to obtain an additional copy for their personal use should consult Copying Services information on the Manuscripts and Archives web site. 
","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1470028
2119039,"Restricted, 1977",Manuscripts and Archives,"[""MS 1664"",null,null,null]","The restricted file, which is closed to researchers, contains documents that are undergoing declassification review by the federal government.","[""ColdStorageBrbl""]",/repositories/12/archival_objects/2119039
2119040,"Restricted, 1979",Manuscripts and Archives,"[""MS 1664"",null,null,null]","The restricted file, which is closed to researchers, contains documents that are undergoing declassification review by the federal government.","[""ColdStorageBrbl""]",/repositories/12/archival_objects/2119040
1180747,Memorabilia of Bvt Maj Gen Alexander S. Webb,Manuscripts and Archives,"[""MS 684"",null,null,null]","Due to the physical nature of the material in box 12, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1180747
1204550,"Artifacts [china, stuffed animal, cap, pencil, bookmark, etc.]",Manuscripts and Archives,"[""MS 1812"",null,null,null]","Due to the physical nature of the material in box 1, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1204550
2030863,DAGUERREOTYPES,Manuscripts and Archives,"[""MS 496E"",null,null,null]","Due to the physical nature of the material in series VI, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/2030863
2097837,"Biographical data on Irish personalities, 1974 - 1977",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2097837
2096047,"Memorandum of conversation with Garret FitzGerald, 1976",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096047
2096049,"Northern Ireland, 1977",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096049
2096053,"Official correspondence, 1975-1976",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096053
2096062,"Resignation letter, 1977",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096062
2096087,"Comprehensive settlement of the Cambodia conflict, 1991",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096087
2096096,"Letter to James A. Baker III, 1992",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096096
2096097,"Martinique summit, 1991",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096097
2096098,"Meeting of Class I Post ambassadors, 1992",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096098
2096099,"Meeting of President Bush and President Mitterrand, 1990",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096099
2096101,"Memoranda, 1989-1992",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096101
2096102,"Memoranda of conversation, 1990-1992",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096102
2096103,"Messages, 1990-1993",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096103
2096104,"Mission, program plan, fiscal years 1993-1997, 1992",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096104
2096105,"Mitterrand, François, 1989",Manuscripts and Archives,"[""MS 2009"",null,null,null]",Restricted until declassified by the federal government.,"[""ColdStorageBrbl""]",/repositories/12/archival_objects/2096105
1504584,Guam/PTT,Manuscripts and Archives,"[""MS 146"",null,null,null]",Patrons must use Film HM 103 instead of the originals.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1504584
1504623,Other Guam/PTT Topics,Manuscripts and Archives,"[""MS 146"",null,null,null]",Patrons must use Film HM 103 instead of the originals.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1504623
1504679,Liberia,Manuscripts and Archives,"[""MS 146"",null,null,null]",Patrons must use Film HM 103 instead of the originals.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1504679
1504686,Point Four Program,Manuscripts and Archives,"[""MS 146"",null,null,null]",Patrons must use Film HM 103 instead of the originals.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1504686
1504690,Spanish Speaking Peoples Project,Manuscripts and Archives,"[""MS 146"",null,null,null]",Patrons must use Film HM 103 instead of the originals.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1504690
1504694,Technical Cooperation Administration,Manuscripts and Archives,"[""MS 146"",null,null,null]",Patrons must use Film HM 103 instead of the originals.,"[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1504694
1958364,"Business card, Charles August Lindbergh, Undated",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958364
1958369,"Pearl found by Charles August Lindbergh in oyster cocktail, 1915",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958369
1958370,"Newsclippings of Charles August Lindbergh's death (photostats), 1924",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958370
1958371,"Evangeline Lodge (Land) Lindbergh's ship cabin ticket, 1913",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958371
1958372,"Watercolor, yellow flowers in brown vase by Evangeline Lodge (Land) Lindbergh, Undated",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958372
1958376,Barnstorming,Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958376
1958380,"Booklet, Lewis Machine gun, with Charles Augustus Lindbergh notation, Circa 1918",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958380
1958381,"Piece of the <title>Spirit of St. Louis</title>, small autographed, Circa 1927-1929",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958381
1958382,"Bolt from the <title>Spirit of St. Louis</title>' battery box, Circa 1927-1929",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958382
1958383,"Currency, various countries, signed, ""Short snorter"" bills , Circa 1930-1959",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958383
1958384,"Enlarged copy of Orteig check, Undated",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958384
1958385,"Enlarged copy of Ford check, 1936",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958385
1958386,"Paris Air Show Newsletter, 1967 ",Manuscripts and Archives,"[""MS 325"",null,null,null]","Due to the physical nature of the material, staff supervision is required.","[""RestrictedCurApprSpecColl""]",/repositories/12/archival_objects/1958386
