"uri","component_id","display_string","iso_language_code","language","acquistions_note"
archives.yale.edu/repositories/11/archival_objects/2403306,P.CtYBR inv. 2192 qua,"Letter, Ptolemaic BCE 265-264 [BPG, CBW]",grc,"Greek, Ancient (to 1453)","Acquisition Information, 1909: Donated by the Egypt Exploration Fund, March 1909. From the Egypt Exploration Fund's excavations. Horde includes P.CtYBR inv. 2191-2203."
archives.yale.edu/repositories/11/archival_objects/2402927,P.CtYBR inv. 1767(A),"Order, Byzantine-Medieval CE vi-vii [TCP] / Medieval CE viii",grc,"Greek, Ancient (to 1453)","1964"
archives.yale.edu/repositories/11/archival_objects/2400702,P.CtYBR inv. 1131(A),"Document, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931b or 1931c"
archives.yale.edu/repositories/11/archival_objects/2405980,P.CtYBR inv. 5474,"Document (?), Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2402626,P.CtYBR inv. 3751,"Document, Byzantine",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2400974,P.CtYBR inv. 1408(B),"Document, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2404545,P.CtYBR inv. 4955,Literary work (?),egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2400464,P.CtYBR inv. 1065(B),Document,grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405800,P.CtYBR inv. DP 8 fol,"Letter, Roman CE 208",lat,Latin,
archives.yale.edu/repositories/11/archival_objects/2400772,P.CtYBR inv. 1258(B),"Document, Roman CE i-ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2405319,P.CtYBR inv. 4492,"Document, Roman-Byzantine",grc,"Greek, Ancient (to 1453)","1996b"
archives.yale.edu/repositories/11/archival_objects/2403529,P.CtYBR inv. 2894,Document,grc,"Greek, Ancient (to 1453)",pre-1983
archives.yale.edu/repositories/11/archival_objects/2400360,P.CtYBR inv. 986,"Document, Roman",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2400996,P.CtYBR inv. 1426,"Document, Roman CE ii-iii (?) [NL]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2400684,P.CtYBR inv. 2304,Document (?),grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2404541,P.CtYBR inv. 4951,Literary work,egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405960,P.CtYBR inv. 5182,"Literary, Ptolemaic BCE i",egy,Egyptian (Ancient),"1999"
archives.yale.edu/repositories/11/archival_objects/2404692,P.CtYBR inv. 5428,"Document (?), Medieval",ara,Arabic,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402385,P.CtYBR inv. 3436(A),Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403318,P.CtYBR inv. 2203,"Account, Roman CE late ii-early iii [BPG]",grc,"Greek, Ancient (to 1453)","Acquisition Information, 1909: Donated by the Egypt Exploration Fund, March 1909. From the Egypt Exploration Fund's excavations. Horde includes P.CtYBR inv. 2191-2203."
archives.yale.edu/repositories/11/archival_objects/2403775,P.CtYBR inv. 4053,"Contract, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402011,P.CtYBR inv. 3101,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405828,P.CtYBR inv. DP 29(A),"List, Roman CE 233-235 [CBW]",lat,Latin,
archives.yale.edu/repositories/11/archival_objects/2402689,P.CtYBR inv. 3816,"Receipt (?), Roman CE ii",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2402073,P.CtYBR inv. 3158(second text),Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2399893,P.CtYBR inv. 581,"Document, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2405534,P.CtYBR inv. 5083,Document,grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2399748,P.CtYBR inv. 461 fol,"Account, Byzantine [MIR]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2401440,P.CtYBR inv. 1906(B),Document,cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2403735,P.CtYBR inv. 4002,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403813,P.CtYBR inv. 4083,"Document, Roman CE ii [AES]",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405575,P.CtYBR inv. 5124,Document,grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2399620,P.CtYBR inv. 359,"Letter, Roman CE ii-iii [MIR]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2399894,P.CtYBR inv. 582,"Document, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402104,P.CtYBR inv. 3181,"Document, Roman",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2401732,P.CtYBR inv. 2465,Uncertain genre,ara,Arabic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2402301,P.CtYBR inv. 3357,Document ?,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403255,P.CtYBR inv. 2343(A),Document,grc,"Greek, Ancient (to 1453)","1966b"
archives.yale.edu/repositories/11/archival_objects/2401263,P.CtYBR inv. 1630,"Document, Byzantine CE iv [NL]",grc,"Greek, Ancient (to 1453)","1935"
archives.yale.edu/repositories/11/archival_objects/2405973,P.CtYBR inv. 5467 (A-G),"Document, Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2400673,P.CtYBR inv. 2294,Document (?),grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405381,P.CtYBR inv. 4603 qua,"Petition, Ptolemaic BCE 138",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2400721,P.CtYBR inv. 1221,"Document, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2401510,P.CtYBR inv. 1967,"Document, Byzantine CE iv-vi [AES]",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405383,P.CtYBR inv. 4605 qua,"Petition, Ptolemaic BCE 138",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2399934,P.CtYBR inv. 620(A),"Account, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402606,P.CtYBR inv. 3731,"Document, Byzantine",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403708,P.CtYBR inv. 3977,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402228,P.CtYBR inv. 3289,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2404297,P.CtYBR inv. 4589,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403653,P.CtYBR inv. 3927,"Recto, Document|Verso, Account (?), Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403507,P.CtYBR inv. 2749,"Account, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2401669,P.CtYBR inv. 2406,Uncertain genre,ara,Arabic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2404492,P.CtYBR inv. 4902,Document,egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403375,P.CtYBR inv. 2633,"Letter, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2402252,P.CtYBR inv. 3311,Document,grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2401265,P.CtYBR inv. 1633,"Contract, Roman CE 190-191 [RD]",grc,"Greek, Ancient (to 1453)","1935"
archives.yale.edu/repositories/11/archival_objects/2402778,P.CtYBR inv. 4113,"Document (?), Byzantine (?)",cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2401429,P.CtYBR inv. 1897(A),Letter (?),cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2405902,P.CtYBR inv. DP 101 qua,"Contract, Roman CE 227",grc,"Greek, Ancient (to 1453)",
