Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
level number,level type,unitid,,,title,extracted_comments,date expression,year begin,month begin,day begin,year end,month end,day end,bulk year begin,bulk month begin,bulk day begin,bulk year end,bulk month end,bulk day end,instance type,container 1 type,container profile,barcode,container 1 value / BOX by default,container 2 type,container 2 value / FOLDER by default,container 3 type,container 3 value,extent number,extent value,generic extent,generic physdesc,origination,bioghist,scope and content note,arrangement note,access restrictions,phystech,physloc (location note),use restrictions,language code,langmaterial note,other finding aid,custodhist,acqinfo,appraisal,accruals,originalsloc,alternative form available,related material,separated material,preferred citation,processing information,control access headings,"component @id (leave blank, unless value already present)",dao link,dao title,"system @id (leave blank, unless value already present)"
2,,,3923906,Laos : plan de emménagements pour passagers = passenger accommodation plan,"""Laos"" : plan de emménagements pour passagers = passenger accommodation plan",Fre eng,,,,,,,,,,,,,,,,,,240,,#1,,,,,,"Compagnie des messageries Maritimes … ""Laos""",,,[publisher not identified],,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912872,"[Türkiye] karayollari harıtasi = [Turkey] highway map, 1952",[Türkiye] karayollari harıtasi = [Turkey] highway map,eng tur,,1952,,,,,,,,,,,,,,,,237,,#1,,,,,,Turkey highway map = Türkiye karayollari harıtasi,,,Karayolları Genel Müdürlüğü [General Directorate of Highways],,,,,,tur,,,,,,,,,,,,,,,,,
2,,,3913125,"1939 highway and tourist map province of Quebec Canada = 1939 carte routière et touristique province de Québec Canada, 1939",1939 highway and tourist map province of Quebec Canada = 1939 carte routière et touristique province de Québec Canada,eng fre,,1939,,,,,,,,,,,,,,,,163,,#1,,,,,,Come to Québec province highway and tourist map 1939 = Come to la province de Québec carte routière et touristique,,,Office du Tourisme Province de Québec = Province de Québec Tourist Bureau,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913229,"Accès de la ville de Montréal = Montréal access to the city, [between 1970 and 1979?]",Accès de la ville de Montréal = Montréal access to the city,eng fre,[between 1970 and 1979?],,,,,,,,,,,,,,,,,164,,#1,,,,,,Voies d'accès à Montrèal = Montréal access roads to the city,,,City of Montréal Public Relations Department,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913233,"Accès de la ville de Montréal = Montréal access to the city, [1975?]",Accès de la ville de Montréal = Montréal access to the city,eng fre,[1975?],,,,,,,,,,,,,,,,,164,,#1,,,,,,Montréal,,,City of Montreal Housing and City Planning Department,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912955,"Afrique centre et sud Madagascar = Africa central and south Madagascar, 1984",Afrique centre et sud Madagascar = Africa central and south Madagascar,eng fre,,1984,,,,,,,,,,,,,,,,238,,#1,,,,,,,,,Pneu Michelin,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913290,"Agglomération de Québec = Greater Québec = Québec y suburbios, 1985",Agglomération de Québec = Greater Québec = Québec y suburbios,eng fre spa,,1985,,,,,,,,,,,,,,,,164,,#1,,,,,,Carte touristique et routiére agglomération de Québec = Tourist and road map Québec area = Mapa turistico y de carreteras Québec y suburbios,,,Transports du Québec,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3923855,"Air France : le plus grande réseau du monde, [1961]",Air France : le plus grande réseau du monde,Eng fre,[1961],,,,,,,,,,,,,,,,,240,,#1,,,,,,,,,Société Industrielle d'Imprimerie,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912821,"Alpenländer, [between 1970 and 1979?]",Alpenländer,ita eng fre ger spa slv,[between 1970 and 1979?],,,,,,,,,,,,,,,,,237,,#1,,,,,,Alpenländer Österreich - Süddeutschland - Schweiz - Oberitalien - Westjugoslawein = Alpine countries Austria - southern Germany - Switzerland - northern Italy - Jugoslavia north west,,,Verlag Adolf Zinner,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912349,"Amsterdam, [1956]",Amsterdam,Dut eng fre ger,[1956],,,,,,,,,,,,,,,,,233,,#1,,,,,,Amsterdam,,,Bollman-Bildkarten Verlag,,,,,,dut,,,,,,,,,,,,,,,,,
2,,,3912342,"Amsterdam : city-plan - plan de ville - Stadtplan, [approximately 1956?]",Amsterdam : city-plan - plan de ville - Stadtplan,eng fre ger,[approximately 1956?],,,,,,,,,,,,,,,,,158,,#1,,,,,,,,,[publisher not identified],,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912364,"Anvers-Rotterdam, 1969",Anvers-Rotterdam,Fre dut,,1969,,,,,,,,,,,,,,,,233,,#1,,,,,,Antwerpen-Rotterdam,,,[publisher not identified],,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912504,"Aral-Karte 5, 1975 - 1976",Aral-Karte 5,Ger eng fre,,1975,,,1976,,,,,,,,,,,,,159,,#1,,,,,,"Bundesrepublik Deutschland Straßenkarte mit 9 Stadtdurchfahrtsplänen : Bamberg, Bayreuth, Erlangen, Fulda, Hof, Nürnberg, Rothenburg o.d.T., Schweinfurt, Würzburg",,,Aral Aktiengesellschaft ; Kartographischer Verlag Busche,,,,,,ger,,,,,,,,,,,,,,,,,
