"MFHD_ID","BIB_ID","TITLE","AUTHOR","BEGIN_PUB_DATE","END_PUB_DATE","PUBLISHER","PUB_PLACE","DISPLAY_CALL_NO"
7551455,6983228,!En Victoria! : spiritual capital and self-made men in Puerto Rican addiction ministries / by Helana B. Hansen. ,"Hansen, Helena B. ","2004",,,,
12098127,11891402,""" 'Al reveￌﾁs anda ya el mundo"" : the inversion motif in the Spanish Golden Age"" / by Jennifer Allison Darrell. ","Darrell, Jennifer Allison, ","2013",,,,
10705288,10495292,"""40 views of the Yuanming yuan"" : image and ideology in a Qianlong imperial album of poetry and paintings / by John R. Finlay. ","Finlay, John R. ","2011",,,,
14305982,14301597,"""A hell behind the scenes"" : Authority and representation in Restoration criticism / by Edward Ephraim Schiffer. ","Schiffer, Edward Ephraim, ","1992",,"Yale University, ","[New Haven, Connecticut] : ",
13543842,13504504,"""Al Dolor Fenestra"" : Voice and Complicity in Dante's Inferno / by Patrick Waldron. ","Waldron, Patrick, ","2016",,"Yale University, ","[New Haven, Connecticut] : ",
5045744,4653473,"""Al nys but conseil"" : the medieval idea of counsel and the poetry of Geoffrey Chaucer / by Matthew Christopher Giancarlo. ","Giancarlo, Matthew Christopher. ","1998",,,,
14306183,14301823,"""An army of women"" : Gender relations and politics in Kansas Populism, the Woman Movement, and the Republican Party, 1879-1896 / by Michael Lewis Goldberg. ","Goldberg, Michael L., 1959-, ","1992",,"Yale University, ","[New Haven, Connecticut] : ",
14306022,14301643,"""An einen jungen Dichter"" : Studien zur epistolaren Poetik / by Thomas Nolden. ","Nolden, Thomas, ","1992",,"Yale University, ","[New Haven, Connecticut] : ",
14868919,14882125,"""And She Nursed Them All Splendidly Herself:"" Breasts and Breastfeeding in the Works of Lev Tolstoi / by Aura Evenstar Young. ","Young, Aura, ","2018",,"Yale University, ","[New Haven, Connecticut] : ",
14502085,14502188,"""And the word became flesh"" : Women's language in the misogynous literature of late medieval France / by Gretchen Valerie Angelo. ","Angelo, Gretchen Valerie, ","1994",,"Yale University, ","[New Haven, Connecticut] : ",
13543690,13504339,"""Another Russia"" : Counter-Culture, National-Bolshevism, and the Search for a Post-Soviet Identity / by Fabrizio Fenghi. ","Fenghi, Fabrizio, ","2016",,"Yale University, ","[New Haven, Connecticut] : ",
13868720,13851482,"""Anxiety and Type 1 Diabetes are like Cousins"" : The Experience of Anxiety Symptoms in Youth with Type 1 Diabetes / by Kaitlyn Elise Rechenberg. ","Rechenberg, Kaitlyn Elise, ","2018",,"Yale University, ","[New Haven, Connecticut] : ",
9660965,9302073,"""Art and revolt"" : the work of Edward Burne-Jones / by Andrea Wolk Rager. ","Rager, Andrea Wolk. ","2009",,,,
14738159,14748046,"""Author Ad Librum"" : the Textual Authority of Ben Jonson's Masques / by Nancy Elizabeth Wright. ","Wright, Nancy Elizabeth, ","1986",,"Yale University, ","[New Haven, Connecticut] : ",
16035911,16100385,"""Because So It Is Made New"" : D. H. Lawrence's Charismatic Modernism / by Paul Daniel Franz. ","Franz, Paul Daniel, ","2020",,"Yale University, ","[New Haven, Connecticut] : ",
14703968,14713179,"""Being Comanche"" : the organization and maintenance of an American Indian community, 1700-1986 / by Morris Wade Foster. ","Foster, Morris Wade, ","1988",,"Yale University, ","[New Haven, Connecticut] : ",
8883696,8446586,"""Between the storms"" : North Vietnam's strategy during the second Indochina war (1955-1973) / by Lien-Hang T. Nguyen. ","Nguyen, Lien-Hang T. ","2008",,,,
6758625,6064651,"""Beyond the power of criticism"" : vulnerability and invulnerability for Cowper, Wordsworth, and Austen / by Precilla Nesbit Gilman. ","Gilman, Prescilla Nesbit. ","2002",,,,
8881316,8443886,"""Black and White together"" : constructing intregration while establishing de facto segregation / by Mary Barr. ","Barr, Mary. ","2008",,,,
8876008,8438555,"""Blessed assurance"" : belief and power among African American Apostolic women / by Judith S. Casselberry. ","Casselberry, Judith S. ","2008",,,,
14502765,14502868,"""Blood from your sons"" : African generational conflict in Natal and Zululand, South Africa, 1880-1910 / by Benedict Carton. ","Carton, Benedict, ","1996",,"Yale University, ","[New Haven, Connecticut] : ",
7322273,6724835,"""Built for health"" : American architecture and the healthy house, 1850-1930 / by Victoria Jane Solan. ","Solan, Victoria Jane. ","2004",,,,
14502849,14502952,"""Carved on rings and painted in pictures"" : the education and formation of the Spanish royal family, 1601-1634 / by Martha K. Hoffman-Strock. ","Hoffman-Strock, Martha K., ","1996",,"Yale University, ","[New Haven, Connecticut] : ",
12871782,12768485,"""Choose you this day ..."" : the military-religious dilemma of U.S. Army chaplains / by Clarence Lewis Abercrombie, III. ","Abercrombie, Clarence Lewis, ","1973","1974","Yale University, ","[New Haven, Connecticut] : ",
14502817,14502920,"""Civilized"" but discontent : the Xavante Indians and government policy in Brazil, 1937-1988 / by Seth William Garfield. ","Garfield, Seth William, ","1996",,"Yale University, ","[New Haven, Connecticut] : ",
5272012,4873861,"""Clarissa Lives"" : female response to Clarissa from Richardson's contemporaries to Jane Austen / by Anne C. Taranto. ","Taranto, Anne C. ","2001",,,,
14502291,14502394,"""Col sangue del mio cuore"" : Subjectivity and eudaemonism in the work of Ugo Foscolo / by Enzo Neppi. ","Neppi, Enzo, ","1994",,"Yale University, ","[New Haven, Connecticut] : ",
14704390,14713601,"""Conversacion en la Catedral"" and ""Cobra"" : (Per)versions of French narratives / by Mary Ann Gosser. ","Gosser, Mary Ann, ","1990",,"Yale University, ","[New Haven, Connecticut] : ",
12774415,12665141,"""Do not go out alone at night"" : law and demonic discourse in the Babylonian Talmud / by Sara A. Ronis. ","Ronis, Sara A., ","2015",,"Yale University, ","[New Haven, Connecticut] : ",
14502676,14502779,"""Dread and curious alteration"" : Republican panic and personal intimation in early American fiction / by Stephen Aaron Shapiro. ","Shapiro, Stephen Aaron, ","1995",,"Yale University, ","[New Haven, Connecticut] : ",
13045836,12957680,"""Everything happens for a reason"" : children's and adults' teleological reasoning about life events / by Konika Banerjee. ","Banerjee, Konika, ","2015","2016","Yale University, ","[New Haven, Connecticut] : ",
14306044,14301671,"""Fit for freedom"" : the slaves, slavery, and emancipation in the Cape Colony, South Africa, 1806 to 1842 / by John Edwin Mason, Jr. ","Mason, John Edwin, Jr., ","1992",,"Yale University, ","[New Haven, Connecticut] : ",
14705354,14714564,"""Fulfilled in your hearing"" : Rhetoric and doctrine in John Calvin's ""Institutes of the Christian Religion"" / by Lynda Serene Jones. ","Jones, Lynda Serene, ","1991",,"Yale University, ","[New Haven, Connecticut] : ",
14502173,14502276,"""Gazing still"" : Vision, metamorphosis, and the poetics of allegory in Spenser's ""Faerie Queene"" / by Louise Gilbert Freeman. ","Freeman, Louise Gilbert, ","1994",,"Yale University, ","[New Haven, Connecticut] : ",
9929354,9590120,"""God's business men"" : entrepreneurial evangelicals in Depression and war / by Sarah Ruth Hammond. ","Hammond, Sarah Ruth. ","2010",,,,
12615883,12472299,"""Gods in exile"" : late Victorian painters of the Mythic School / by Chloe Kim Portugeis. ","Portugeis, Chloe Kim, ","2013",,"Yale University, ","New Haven, Connecticut : ",
5089489,4695835,"""Going to hell in a cradle""* : the relationship between transportation and imprisonment in eighteenth- and nineteenth-century Britain : punishment, liberty, and the state / by James J. Willis. ","Willis, James J. ","2000",,,,
13042997,12954625,"""Happy and useful"" : educating children with disabilities in nineteenth-century America / by Kathryn Barbara Irving. ","Irving, Kathryn Barbara, ","2015","2016","Yale University, ","[New Haven, Connecticut] : ",
5077718,4684423,"""Holding forth the word of life"" : Paul and the mission of the church in the letter to the Philippians in the context of Second Temple Judaism / by James Patrick Ware. ","Ware, James Patrick. ","1996",,,,
11352325,11191590,"""Hounded out : performative success and institutional failure in the pro-hunting movement in England"" / by Sarah Egan. ","Egan, Sarah. ","2012",,,,
8538410,8129402,"""I clothed you in purple"" : the rabbinic king-parables in the third-century Roman Empire / by Alan Appelbaum. ","Appelbaum, Alan. ","2007",,,,
6833961,6151557,"""I give the sign of democracy"" : race, labor, and the aesthetics of nationalism / by Ivy Glenn Wilson. ","Wilson, Ivy Glenn. ","2002",,,,
12123816,11922667,"""I now declare you"" : state law and the making of marriage in post-apartheid South Africa / by Michael William Yarborough. ","Yarborough, Michael William, ","2013",,,,
7083310,6434374,"""I undertook the great works"" : the ideology of domestic achievements in West Semitic royal inscriptions / by Douglas James Green. ","Green, Douglas James. ","2003",,,,
8206075,7739503,"""I used the term 'Negro' and I was firmly corrected"" : African independence, black power and channels of diasporic resistance / by Robin J. Hayes. ","Hayes, Robin J. ","2006",,,,
14306215,14301856,"""If lions could carve stones..."" : Medieval Jewry and the allegorization of the animal kingdom. a textual and iconographic study / by Marc Michael Epstein. ","Epstein, Marc Michael, ","1992",,"Yale University, ","[New Haven, Connecticut] : ",
8218751,7753614,"""If you want peace, work for justice"" : revitalizing grievance as a risk factor for civil war / by Annalisa Zinn. ","Zinn, Annalisa. ","2006",,,,
7092626,6446234,"""Imprisoned in a luminous glare"" : history, memory, and the photography of twentieth century African American social movements / by Leigh Renee Raiford. ","Raiford, Leigh Renee. ","2003",,,,
14497614,14497385,"""Imprisonment for the Gospel"" : the apostle Paul and Roman prisons / by Craig Steven Wansink. ","Wansink, Craig Steven, ","1993",,"Yale University, ","[New Haven, Connecticut] : ",
14704903,14714113,"""Impure conceits"" : Figuration in Wordsworth's ""Excursion"" / by Alison Hickey. ","Hickey, Alison, ","1991",,"Yale University, ","[New Haven, Connecticut] : ",
10379596,10097134,"""In accordance with the documents of ancient times"" : the origins, development, and significance of the ancient Egyptian Sed Festival (jubilee festival) / by Marc Jeremy LeBlanc. ","LeBlanc, Marc Jeremy. ","2011",,,,
4909474,4521474,"""In consideration of his being married to a daughter of the land"" : interethnic marriages in Alta California, 1825-1875 / by Mariￌﾁa Raqueￌﾁl Casas. ","Casas, Maria Raqueￌﾁl. ","1999",,,,
5075301,4682092,"""In the wilds of America"" : the early Republican origins of American Judaism, 1790-1830 / by Jay Michael Eidelman. ","Eidelman, Jay Michael. ","1997",,,,
11499721,11349449,"""Inherited loss"" : Tejanas and Tejanos contesting state violence and revising public memory, 1910-present / by Monica Munￌﾃoz Martinez. ","Martinez, Monica Munￌﾃoz, ","2013",,"[publisher not identified], ",[Place of publication not identified] : ,
13043562,12955293,"""Into the mathematical ocean"" : navigation, education, and the expansion of numeracy in early modern England and the Atlantic world / by Mordecai Levy-Eichel. ","Levy-Eichel, Mordechai, ","2015",,"Yale University, ","[New Haven, Connecticut] : ",
10398068,10118193,"""It's just not Main Street anymore!"" : mapping out the boundaries of belonging in a new immigrant gateway / by Bernadette Nadya Jaworsky. ","Jaworsky, Bernadette Nadya. ","2011",,,,
5052663,4660148,"""Jumping the dragon gate"" : social mobility among storytellers in Shanghai, 1849-1949 / by Laura Andrews McDaniel. ","McDaniel, Laura Andrews. ","1998",,,,
